QTD,Bubblesort,Heapsort,Insertionsort,MegeSort,QuickSort,RadixSort
181,23876,3738,8641,2871,2185,1926
182,23415,3806,7991,2898,2262,1937
183,23763,3833,8331,2909,2240,1387
184,23677,3832,8242,2921,2032,1954
185,24085,3871,8434,2951,2166,1962
186,24214,3915,8308,2975,2224,1977
187,24396,3906,8330,2979,2111,1414
188,24448,4001,8851,2987,2144,1997
189,25565,4016,9372,3017,2311,1440
190,25010,4006,8749,3018,2250,1443
191,25381,4072,8251,3056,2183,2031
192,26006,4098,9198,3074,2383,1452
193,26269,4086,9312,3092,2219,1458
194,27286,4109,10154,3110,2155,2059
195,27440,4127,10002,3120,2181,2073
196,27352,4159,9261,3137,2436,2084
197,27137,4204,9856,3179,2237,2102
198,27049,4239,9022,3183,2637,2107
199,27713,4236,9926,3212,2261,2120
200,28615,4202,10617,3222,2310,2127
201,28308,4295,9809,3244,2656,2135
202,29307,4336,10521,3273,2396,2147
203,28590,4303,10196,3285,2765,921
204,29777,4389,10738,3282,2887,2172
205,29436,4392,11217,3309,2973,2178
206,30247,4454,11127,3336,2620,1559
207,30174,4487,10617,3372,2534,2207
208,30800,4438,11103,3383,2527,1578
209,29776,4555,9587,3396,2364,1583
210,31349,4545,10809,3420,2589,2229
211,31012,4524,11337,3430,2675,1597
212,30975,4604,10268,3450,2489,1603
213,31764,4634,11263,3454,2744,1606
214,32631,4669,11699,3503,2395,2277
215,32689,4660,12116,3518,2506,1628
216,33204,4638,12085,3522,2328,2292
217,32435,4770,11217,3540,2694,2307
218,33456,4745,11627,3562,2487,1647
219,33735,4742,12145,3573,2892,1661
220,34481,4780,12601,3603,2608,2331
221,33618,4852,12151,3630,2739,2353
222,34008,4866,12595,3639,2749,2350
223,34005,4917,11590,3668,2807,2368
224,35854,4847,13213,3668,2721,1692
225,35035,4880,12713,3696,2840,2381
226,35143,4981,11817,3706,2857,1711
227,35744,4999,12151,3711,2688,2403
228,36664,4983,13323,3753,3055,2416
229,37209,4968,14716,3779,2871,1739
230,35868,5039,12406,3786,2975,2432
231,37147,5096,13186,3817,3292,2451
232,37941,5182,13277,3828,2672,2458
233,37841,5143,13506,3846,2638,2475
234,38119,5133,13127,3850,3188,2480
235,38481,5163,13420,3869,3038,2492
236,38663,5207,13325,3903,2804,2507
237,38540,5312,13171,3915,2641,2518
238,39178,5266,14570,3954,3159,2526
239,39773,5278,14659,3964,3035,2530
240,39289,5358,13053,3966,3043,2538
241,40484,5394,14316,3985,2913,2558
242,40397,5390,14225,4017,3007,2562
243,41257,5348,15228,4046,2988,2582
244,40762,5422,14404,4057,2829,2587
245,43247,5371,16905,4081,3267,2599
246,41147,5448,14836,4087,2852,2606
247,42721,5460,16336,4095,3124,1870
248,42791,5507,14660,4114,3363,369
249,43186,5486,15622,4159,3165,2640
250,43827,5509,16085,4180,2833,1892
251,43377,5605,15215,4185,3577,2647
252,44267,5643,15357,4216,3132,2674
253,44387,5574,15830,4210,2890,2684
254,44269,5648,16015,4236,3403,2695
255,45191,5642,16506,4261,3686,1933
256,45003,5701,16184,4280,3348,1944
257,45690,5686,17099,4306,3436,1940
258,46434,5784,16016,4306,3503,2738
259,46925,5763,17548,4339,3161,2742
260,47756,5822,16910,4383,3287,1968
261,47000,5867,16717,4381,3234,2767
262,47316,5905,17344,4393,3352,2771
263,47721,5932,17025,4420,3391,2788
264,48154,5922,17355,4446,3107,1997
265,48912,5937,18379,4456,3633,2002
266,49017,5981,17907,4473,3184,2821
267,49108,5978,17656,4506,3323,2837
268,49723,6079,18275,4531,3456,2035
269,49657,6127,18067,4565,3414,2852
270,50499,6099,17916,4581,3127,2038
271,50537,6159,19070,4603,3875,2053
272,51437,6194,17784,4616,3556,2060
273,52066,6167,19422,4622,3701,2061
274,51690,6166,17892,4633,3273,2888
275,50729,6271,18019,4632,3641,2911
276,52369,6237,18498,4696,3673,2920
277,53172,6288,19311,4720,3860,2090
278,55159,6272,21054,4735,3423,2100
279,52937,6335,18737,4767,3358,2111
280,53553,6379,19991,4764,3376,2963
281,54896,6352,19828,4785,3972,2122
282,55210,6477,20065,4822,3458,2976
283,54746,6399,19819,4837,3549,2135
284,55553,6428,20396,4832,3870,3006
285,56567,6491,20920,4862,3610,3019
286,55897,6475,20155,4896,3764,1287
287,56747,6550,19961,4917,3719,3040
288,57095,6540,20858,4945,4015,3036
289,58072,6564,21597,4937,3516,3057
290,55579,6737,18710,4962,4068,3075
291,59804,6698,21465,5006,3976,436
292,58238,6700,21379,5019,3737,3090
293,59618,6688,21705,5036,3987,3103
294,58711,6756,19887,5067,4147,3112
295,59236,6834,21355,5065,3948,3120
296,60990,6857,23305,5086,3908,3138
297,61328,6803,22224,5121,3767,3148
298,61409,6871,21981,5156,4321,3147
299,61251,6886,21934,5153,3626,3162
300,62090,6912,23176,5195,3701,2259
301,62626,6924,22860,5183,3730,3184
302,61823,6992,21553,5233,3939,2283
303,62708,7010,23027,5245,5177,3216
304,63257,7039,22885,5249,3640,2302
305,63824,6982,24350,5297,4700,1385
306,64678,7038,23921,5300,4210,3234
307,63548,7170,23817,5333,4135,3253
308,64689,7148,23673,5357,4156,3263
309,65334,7145,23767,5362,4567,2333
310,65968,7231,23791,5412,3937,3287
311,64548,7294,22708,5400,3872,3294
312,67676,7245,25390,5435,4026,3301
313,65590,7296,23659,5460,4229,3307
314,67043,7301,24166,5483,4222,3317
315,69244,7322,26458,5495,4579,3334
316,69318,7345,26045,5499,4418,3338
317,68573,7372,25449,5518,3860,3353
318,69622,7422,25613,5551,4097,3362
319,68061,7521,23675,5561,4411,3375
320,69712,7484,25182,5588,4219,3390
321,69709,7529,24602,5633,5296,3405
322,69746,7618,24555,5638,4204,3404
323,72087,7513,26976,5669,4643,3413
324,71454,7602,26012,5681,4469,2449
325,71847,7605,25791,5694,4986,3443
326,72805,7685,25305,5707,4887,3448
327,71785,7751,25641,5723,4110,3464
328,73822,7738,26763,5748,4725,3466
329,72729,7783,26773,5772,4353,2479
330,74134,7722,27741,5807,4688,3502
